drug_name,drugbank_id,smpdb_id,pathway,category,uniprot_id
Lepirudin,DB00001,SMP0000278,Lepirudin Action Pathway,drug_action,P00734
Lepirudin,DB00001,SMP0000278,Lepirudin Action Pathway,drug_action,P03952
Lepirudin,DB00001,SMP0000278,Lepirudin Action Pathway,drug_action,P00451
Lepirudin,DB00001,SMP0000278,Lepirudin Action Pathway,drug_action,P02671
Lepirudin,DB00001,SMP0000278,Lepirudin Action Pathway,drug_action,P00488
Lepirudin,DB00001,SMP0000278,Lepirudin Action Pathway,drug_action,P00750
Lepirudin,DB00001,SMP0000278,Lepirudin Action Pathway,drug_action,Q9BQB6
Cetuximab,DB00002,SMP0000474,Cetuximab Action Pathway,drug_action,P00533
Bivalirudin,DB00006,SMP0000277,Bivalirudin Action Pathway,drug_action,P00734
Bivalirudin,DB00006,SMP0000277,Bivalirudin Action Pathway,drug_action,P03952
Bivalirudin,DB00006,SMP0000277,Bivalirudin Action Pathway,drug_action,P00451
Bivalirudin,DB00006,SMP0000277,Bivalirudin Action Pathway,drug_action,P02671
Bivalirudin,DB00006,SMP0000277,Bivalirudin Action Pathway,drug_action,P00488
Bivalirudin,DB00006,SMP0000277,Bivalirudin Action Pathway,drug_action,P00750
Bivalirudin,DB00006,SMP0000277,Bivalirudin Action Pathway,drug_action,Q9BQB6
Alteplase,DB00009,SMP0000280,Alteplase Action Pathway,drug_action,P00747
Alteplase,DB00009,SMP0000280,Alteplase Action Pathway,drug_action,P03952
Alteplase,DB00009,SMP0000280,Alteplase Action Pathway,drug_action,P00451
Alteplase,DB00009,SMP0000280,Alteplase Action Pathway,drug_action,P00742
Alteplase,DB00009,SMP0000280,Alteplase Action Pathway,drug_action,P02679
Alteplase,DB00009,SMP0000280,Alteplase Action Pathway,drug_action,P00750
Alteplase,DB00009,SMP0000280,Alteplase Action Pathway,drug_action,Q9BQB6
Urokinase,DB00013,SMP0000284,Urokinase Action Pathway,drug_action,P00747
Urokinase,DB00013,SMP0000284,Urokinase Action Pathway,drug_action,P03952
Urokinase,DB00013,SMP0000284,Urokinase Action Pathway,drug_action,P00451
Urokinase,DB00013,SMP0000284,Urokinase Action Pathway,drug_action,P00742
Urokinase,DB00013,SMP0000284,Urokinase Action Pathway,drug_action,P02679
Urokinase,DB00013,SMP0000284,Urokinase Action Pathway,drug_action,P00750
Urokinase,DB00013,SMP0000284,Urokinase Action Pathway,drug_action,Q9BQB6
Reteplase,DB00015,SMP0000285,Reteplase Action Pathway,drug_action,P00747
Reteplase,DB00015,SMP0000285,Reteplase Action Pathway,drug_action,P03952
Reteplase,DB00015,SMP0000285,Reteplase Action Pathway,drug_action,P00451
Reteplase,DB00015,SMP0000285,Reteplase Action Pathway,drug_action,P00742
Reteplase,DB00015,SMP0000285,Reteplase Action Pathway,drug_action,P02679
Reteplase,DB00015,SMP0000285,Reteplase Action Pathway,drug_action,P00750
Reteplase,DB00015,SMP0000285,Reteplase Action Pathway,drug_action,Q9BQB6
Anistreplase,DB00029,SMP0000281,Anistreplase Action Pathway,drug_action,P00747
Anistreplase,DB00029,SMP0000281,Anistreplase Action Pathway,drug_action,P03952
Anistreplase,DB00029,SMP0000281,Anistreplase Action Pathway,drug_action,P00451
Anistreplase,DB00029,SMP0000281,Anistreplase Action Pathway,drug_action,P00742
Anistreplase,DB00029,SMP0000281,Anistreplase Action Pathway,drug_action,P02679
Anistreplase,DB00029,SMP0000281,Anistreplase Action Pathway,drug_action,P00750
Anistreplase,DB00029,SMP0000281,Anistreplase Action Pathway,drug_action,Q9BQB6
Tenecteplase,DB00031,SMP0000283,Tenecteplase Action Pathway,drug_action,P00747
Tenecteplase,DB00031,SMP0000283,Tenecteplase Action Pathway,drug_action,P03952
Tenecteplase,DB00031,SMP0000283,Tenecteplase Action Pathway,drug_action,P00451
Tenecteplase,DB00031,SMP0000283,Tenecteplase Action Pathway,drug_action,P00742
Tenecteplase,DB00031,SMP0000283,Tenecteplase Action Pathway,drug_action,P02679
Tenecteplase,DB00031,SMP0000283,Tenecteplase Action Pathway,drug_action,P00750
Tenecteplase,DB00031,SMP0000283,Tenecteplase Action Pathway,drug_action,Q9BQB6
Abciximab,DB00054,SMP0000265,Abciximab Action Pathway,drug_action,P08514
Abciximab,DB00054,SMP0000265,Abciximab Action Pathway,drug_action,P05106
Eptifibatide,DB00063,SMP0000266,Eptifibatide Action Pathway,drug_action,P08514
Eptifibatide,DB00063,SMP0000266,Eptifibatide Action Pathway,drug_action,P05106
Trastuzumab,DB00072,SMP0000476,Trastuzumab Action Pathway,drug_action,P00533
Streptokinase,DB00086,SMP0000282,Streptokinase Action Pathway,drug_action,P00747
Streptokinase,DB00086,SMP0000282,Streptokinase Action Pathway,drug_action,P03952
Streptokinase,DB00086,SMP0000282,Streptokinase Action Pathway,drug_action,P00451
Streptokinase,DB00086,SMP0000282,Streptokinase Action Pathway,drug_action,P00742
Streptokinase,DB00086,SMP0000282,Streptokinase Action Pathway,drug_action,P02679
Streptokinase,DB00086,SMP0000282,Streptokinase Action Pathway,drug_action,P00750
Streptokinase,DB00086,SMP0000282,Streptokinase Action Pathway,drug_action,Q9BQB6
Bevacizumab,DB00112,SMP0000420,Bevacizumab Action Pathway,drug_action,P15692
Bevacizumab,DB00112,SMP0000420,Bevacizumab Action Pathway,drug_action,P35968
Bevacizumab,DB00112,SMP0000420,Bevacizumab Action Pathway,drug_action,P17948
Pyridoxal phosphate,DB00114,SMP0000002,Carbamoyl Phosphate Synthetase Deficiency,disease,Q15758
Pyridoxal phosphate,DB00114,SMP0000033,Methionine Metabolism,metabolic,P34896
Pyridoxal phosphate,DB00114,SMP0000004,Glycine and Serine Metabolism,metabolic,P21397
Pyridoxal phosphate,DB00114,SMP0000013,Cysteine Metabolism,metabolic,P48506
Pyridoxal phosphate,DB00114,SMP0000370,Tyrosinemia Type 3 (TYRO3),disease,P17174
Pyridoxal phosphate,DB00114,SMP0000002,Carbamoyl Phosphate Synthetase Deficiency,disease,Q15758
Pyridoxal phosphate,DB00114,SMP0000445,Spermidine and Spermine Biosynthesis,metabolic,P31153
Pyridoxal phosphate,DB00114,SMP0000129,Malate-Aspartate Shuttle,metabolic,P00505
Pyridoxal phosphate,DB00114,SMP0000362,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),disease,P00966
Pyridoxal phosphate,DB00114,SMP0000002,Carbamoyl Phosphate Synthetase Deficiency,disease,Q15758
Pyridoxal phosphate,DB00114,SMP0000004,Glycine and Serine Metabolism,metabolic,P21397
Pyridoxal phosphate,DB00114,SMP0000004,Glycine and Serine Metabolism,metabolic,P21397
Pyridoxal phosphate,DB00114,SMP0000170,Aromatic L-Aminoacid Decarboxylase Deficiency,disease,P07101
Pyridoxal phosphate,DB00114,SMP0000002,Carbamoyl Phosphate Synthetase Deficiency,disease,Q15758
Pyridoxal phosphate,DB00114,SMP0000004,Glycine and Serine Metabolism,metabolic,P21397
Pyridoxal phosphate,DB00114,SMP0000137,2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency,disease,P21953
Pyridoxal phosphate,DB00114,SMP0000137,2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency,disease,P31937
Pyridoxal phosphate,DB00114,SMP0000004,Glycine and Serine Metabolism,metabolic,P21397
Pyridoxal phosphate,DB00114,SMP0000137,2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency,disease,P21953
Pyridoxal phosphate,DB00114,SMP0000137,2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency,disease,P31937
Pyridoxal phosphate,DB00114,SMP0000063,Tryptophan Metabolism,metabolic,P23381
Pyridoxal phosphate,DB00114,SMP0000004,Glycine and Serine Metabolism,metabolic,P21397
Pyridoxal phosphate,DB00114,SMP0000362,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),disease,P00966
Pyridoxal phosphate,DB00114,SMP0000543,Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),disease,P00374
Pyridoxal phosphate,DB00114,SMP0000543,Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),disease,Q96NT5
Pyridoxal phosphate,DB00114,SMP0000002,Carbamoyl Phosphate Synthetase Deficiency,disease,Q15758
Pyridoxal phosphate,DB00114,SMP0000016,Propanoate Metabolism,metabolic,Q96PE7
Pyridoxal phosphate,DB00114,SMP0000016,Propanoate Metabolism,metabolic,P09622
Pyridoxal phosphate,DB00114,SMP0000017,Vitamin B6 Metabolism,metabolic,P05186
Pyridoxal phosphate,DB00114,SMP0000137,2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency,disease,P21953
Pyridoxal phosphate,DB00114,SMP0000137,2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency,disease,P31937
Pyridoxal phosphate,DB00114,SMP0000002,Carbamoyl Phosphate Synthetase Deficiency,disease,Q15758
Pyridoxal phosphate,DB00114,SMP0000020,Arginine and Proline Metabolism,metabolic,P00966
Pyridoxal phosphate,DB00114,SMP0000009,Ammonia Recycling,metabolic,P20132
Pyridoxal phosphate,DB00114,SMP0000063,Tryptophan Metabolism,metabolic,P23381
Pyridoxal phosphate,DB00114,SMP0000170,Aromatic L-Aminoacid Decarboxylase Deficiency,disease,P07101
Pyridoxal phosphate,DB00114,SMP0000362,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),disease,P00966
Pyridoxal phosphate,DB00114,SMP0000432,Methotrexate Action Pathway,drug_action,P00374
Pyridoxal phosphate,DB00114,SMP0000033,Methionine Metabolism,metabolic,P34896
Pyridoxal phosphate,DB00114,SMP0000543,Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),disease,P00374
Pyridoxal phosphate,DB00114,SMP0000543,Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),disease,Q96NT5
Pyridoxal phosphate,DB00114,SMP0000170,Aromatic L-Aminoacid Decarboxylase Deficiency,disease,P07101
Pyridoxal phosphate,DB00114,SMP0000429,Disulfiram Action Pathway,drug_action,P09172
Pyridoxal phosphate,DB00114,SMP0000021,Taurine and Hypotaurine Metabolism,metabolic,Q16878
Pyridoxal phosphate,DB00114,SMP0000004,Glycine and Serine Metabolism,metabolic,P21397
Pyridoxal phosphate,DB00114,SMP0000429,Disulfiram Action Pathway,drug_action,P09172
Pyridoxal phosphate,DB00114,SMP0000170,Aromatic L-Aminoacid Decarboxylase Deficiency,disease,P07101
Pyridoxal phosphate,DB00114,SMP0000063,Tryptophan Metabolism,metabolic,P23381
Pyridoxal phosphate,DB00114,SMP0000170,Aromatic L-Aminoacid Decarboxylase Deficiency,disease,P07101
Pyridoxal phosphate,DB00114,SMP0000006,Tyrosine Metabolism,metabolic,P17735
Pyridoxal phosphate,DB00114,SMP0000006,Tyrosine Metabolism,metabolic,P17735
Pyridoxal phosphate,DB00114,SMP0000493,"Carnosinuria, Carnosinemia",disease,Q96KN2
Pyridoxal phosphate,DB00114,SMP0000493,"Carnosinuria, Carnosinemia",disease,Q96KN2
Pyridoxal phosphate,DB00114,SMP0000177,Cystathionine beta-Synthase Deficiency,disease,P34896
Pyridoxal phosphate,DB00114,SMP0000009,Ammonia Recycling,metabolic,P20132
Pyridoxal phosphate,DB00114,SMP0000063,Tryptophan Metabolism,metabolic,P23381
Pyridoxal phosphate,DB00114,SMP0000004,Glycine and Serine Metabolism,metabolic,P21397
Pyridoxal phosphate,DB00114,SMP0000017,Vitamin B6 Metabolism,metabolic,P05186
Pyridoxal phosphate,DB00114,SMP0000017,Vitamin B6 Metabolism,metabolic,P05186
Pyridoxal phosphate,DB00114,SMP0000006,Tyrosine Metabolism,metabolic,P17735
Pyridoxal phosphate,DB00114,SMP0000177,Cystathionine beta-Synthase Deficiency,disease,P34896
Pyridoxal phosphate,DB00114,SMP0000024,Porphyrin Metabolism,metabolic,P13196
Pyridoxal phosphate,DB00114,SMP0000024,Porphyrin Metabolism,metabolic,P53004
Pyridoxal phosphate,DB00114,SMP0000029,Selenoamino Acid Metabolism,metabolic,Q96I15
Pyridoxal phosphate,DB00114,SMP0000029,Selenoamino Acid Metabolism,metabolic,O43252
Pyridoxal phosphate,DB00114,SMP0000385,Homocarnosinosis,disease,A8YXX4
Pyridoxal phosphate,DB00114,SMP0000385,Homocarnosinosis,disease,P47897
Pyridoxal phosphate,DB00114,SMP0000020,Arginine and Proline Metabolism,metabolic,P00966
Pyridoxal phosphate,DB00114,SMP0000067,Aspartate Metabolism,metabolic,P80404
Pyridoxal phosphate,DB00114,SMP0000004,Glycine and Serine Metabolism,metabolic,P21397
Pyridoxal phosphate,DB00114,SMP0000362,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),disease,P00966
Pyridoxal phosphate,DB00114,SMP0000004,Glycine and Serine Metabolism,metabolic,P21397
Pyridoxal phosphate,DB00114,SMP0000004,Glycine and Serine Metabolism,metabolic,P21397
Pyridoxal phosphate,DB00114,SMP0000063,Tryptophan Metabolism,metabolic,P23381
Pyridoxal phosphate,DB00114,SMP0000201,Methylmalonic Aciduria Due to Cobalamin-Related Disorders,disease,Q96PE7
Pyridoxal phosphate,DB00114,SMP0000201,Methylmalonic Aciduria Due to Cobalamin-Related Disorders,disease,P09622
Pyridoxal phosphate,DB00114,SMP0000362,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),disease,P00966
Pyridoxal phosphate,DB00114,SMP0000067,Aspartate Metabolism,metabolic,P80404
Pyridoxal phosphate,DB00114,SMP0000170,Aromatic L-Aminoacid Decarboxylase Deficiency,disease,P07101
Pyridoxal phosphate,DB00114,SMP0000138,3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency,disease,P21953
Pyridoxal phosphate,DB00114,SMP0000138,3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency,disease,P31937
Pyridoxal phosphate,DB00114,SMP0000556,Mucopolysaccharidosis VI. Sly Syndrome,disease,P52789
Pyridoxal phosphate,DB00114,SMP0000556,Mucopolysaccharidosis VI. Sly Syndrome,disease,O43451
Pyridoxal phosphate,DB00114,SMP0000348,Globoid Cell Leukodystrophy,disease,O15270
Pyridoxal phosphate,DB00114,SMP0000348,Globoid Cell Leukodystrophy,disease,Q86VZ5
Pyridoxal phosphate,DB00114,SMP0000348,Globoid Cell Leukodystrophy,disease,P06280
Pyridoxal phosphate,DB00114,SMP0000072,Glutamate Metabolism,metabolic,A8YXX4
Pyridoxal phosphate,DB00114,SMP0000072,Glutamate Metabolism,metabolic,P47897
Pyridoxal phosphate,DB00114,SMP0000493,"Carnosinuria, Carnosinemia",disease,Q96KN2
Pyridoxal phosphate,DB00114,SMP0000034,Sphingolipid Metabolism,metabolic,O15270
Pyridoxal phosphate,DB00114,SMP0000034,Sphingolipid Metabolism,metabolic,Q86VZ5
Pyridoxal phosphate,DB00114,SMP0000034,Sphingolipid Metabolism,metabolic,P06280
Pyridoxal phosphate,DB00114,SMP0000177,Cystathionine beta-Synthase Deficiency,disease,P34896
Pyridoxal phosphate,DB00114,SMP0000223,Non-Ketotic Hyperglycinemia,disease,P21397
Pyridoxal phosphate,DB00114,SMP0000063,Tryptophan Metabolism,metabolic,P23381
Pyridoxal phosphate,DB00114,SMP0000016,Propanoate Metabolism,metabolic,Q96PE7
Pyridoxal phosphate,DB00114,SMP0000016,Propanoate Metabolism,metabolic,P09622
Pyridoxal phosphate,DB00114,SMP0000016,Propanoate Metabolism,metabolic,Q96PE7
Pyridoxal phosphate,DB00114,SMP0000016,Propanoate Metabolism,metabolic,P09622
Pyridoxal phosphate,DB00114,SMP0000004,Glycine and Serine Metabolism,metabolic,P21397
Pyridoxal phosphate,DB00114,SMP0000370,Tyrosinemia Type 3 (TYRO3),disease,P17174
Pyridoxal phosphate,DB00114,SMP0000004,Glycine and Serine Metabolism,metabolic,P21397
Pyridoxal phosphate,DB00114,SMP0000004,Glycine and Serine Metabolism,metabolic,P21397
Pyridoxal phosphate,DB00114,SMP0000348,Globoid Cell Leukodystrophy,disease,O15270
Pyridoxal phosphate,DB00114,SMP0000348,Globoid Cell Leukodystrophy,disease,Q86VZ5
Pyridoxal phosphate,DB00114,SMP0000348,Globoid Cell Leukodystrophy,disease,P06280
Pyridoxal phosphate,DB00114,SMP0000138,3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency,disease,P21953
Pyridoxal phosphate,DB00114,SMP0000138,3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency,disease,P31937
